0.162,0.026,0.67,0.113,3257.4,638.53,2325.2,286.06
0.166,0.025,0.681,0.101,3199.5,679.02,2317.7,286.01
0.162,0.029,0.655,0.121,2253.6,367.76,1523.5,187.29
0.161,0.027,0.65,0.113,2399,317.97,1790.5,213.41
0.024,0.012,0.093,0.046,3245.6,627.96,477.77,169.46
0.208,0.024,0.826,0.099,3208.9,650.93,2705.9,367.51
0.209,0.025,0.834,0.105,3235.6,632.22,2719,361.79
0.197,0.027,0.772,0.11,2246,351.56,1559.5,183.64
0.198,0.027,0.782,0.111,2409.3,325.89,1850.8,247.69
0.033,0.015,0.128,0.058,3209.6,661.63,590.34,201.29
0.078,0.032,0.353,0.137,2943,533.38,1549.9,293.4
0.064,0.038,0.293,0.161,3213.6,677.8,1499.6,327.49
0.102,0.036,0.432,0.147,2271.1,351.22,1317.5,183.51
0.091,0.034,0.387,0.135,2404,311.82,1444.3,232.12
0.002,0,0.009,0.001,3304.1,611.27,101.57,40.813
0.144,0.034,0.602,0.135,3196.6,650.91,2175.5,284.03
0.145,0.031,0.61,0.127,3207.1,641.43,2148.9,288.73
0.152,0.032,0.617,0.126,2258.7,341.52,1476.2,193.92
0.146,0.032,0.596,0.131,2368.6,332.66,1725.5,214.59
0.003,0.002,0.013,0.007,3280.8,632.04,208.61,102.29
0.23,0.029,0.9,0.112,3208.8,667.77,2860,415.94
0.23,0.028,0.898,0.107,3231.5,618.8,2834.8,401.26
0.207,0.033,0.808,0.127,2266.9,349.24,1555.4,204.41
0.21,0.032,0.811,0.126,2350.3,355.3,1864.2,235.23
0.022,0.013,0.086,0.052,3280.2,634.09,494.69,202.48
0.196,0.029,0.788,0.109,3261.5,623.04,2576.2,368.15
0.197,0.03,0.788,0.118,3276,595.26,2617.7,324.76
0.182,0.03,0.717,0.117,2265.9,360.64,1560.3,177.23
0.182,0.031,0.723,0.122,2397.7,314.13,1833.3,220.19
0.011,0.008,0.045,0.032,3242.4,621.37,366.62,159.03
0.116,0.029,0.502,0.12,3197.5,662.98,1894,259.78
0.114,0.031,0.491,0.13,3251.7,626.47,1888.6,259.36
0.129,0.029,0.538,0.119,2263.7,355.93,1429.8,172.88
0.124,0.027,0.514,0.112,2381.5,330.11,1632.8,212.7
0.002,0.001,0.011,0.003,3197.4,647.36,177.48,75.205
0.035,0.018,0.166,0.08,2461,434.99,896.53,171.61
0.017,0.013,0.088,0.064,3239.5,640.81,762.51,194.5
0.045,0.019,0.206,0.088,2240.2,360.11,919.03,172.13
0.037,0.018,0.17,0.083,2399.2,316.73,905.72,187.13
0.002,0,0.009,0.001,3213.9,633.25,86.598,28.089
