0.203,0.027,0.792,0.105,3233.5,627.21,2755.2,357.37
0.217,0.027,0.851,0.101,3243.3,618.46,2913.8,379.63
0.229,0.026,0.898,0.105,3240.9,602.51,3016.3,411.31
0.216,0.027,0.845,0.105,3230.2,623.84,2720.4,388.27
0.23,0.029,0.899,0.112,3199.3,653.65,2806.9,420.33
0.245,0.028,0.962,0.11,3251.1,623.24,2929.7,443.38
0.231,0.029,0.905,0.113,3268.2,655.75,2683.3,368.1
0.244,0.029,0.953,0.115,3217.2,658.13,2789.5,398.04
0.261,0.031,1.021,0.121,3221.3,625.53,2861.7,433.71
0.168,0.027,0.674,0.106,3217.3,647.88,2474.1,309.52
0.184,0.028,0.738,0.111,3231.6,667.24,2616.1,354.92
0.199,0.028,0.795,0.111,3217.8,645.15,2764.4,359.11
0.178,0.028,0.718,0.113,3226.4,624.19,2407.9,323.66
0.196,0.029,0.786,0.116,3208.8,629.61,2604.8,349.32
0.21,0.029,0.837,0.117,3248,628.94,2700.7,393.31
0.19,0.03,0.766,0.117,3201.4,638.62,2368.1,345.37
0.208,0.03,0.835,0.12,3218.9,638.87,2537.9,349.44
0.221,0.031,0.887,0.122,3228.7,653.51,2703.2,365.09
0.09,0.026,0.385,0.108,3164.8,623.27,1677.6,254.58
0.111,0.029,0.478,0.121,3228.5,641.98,1921.2,246.93
0.123,0.029,0.531,0.12,3285.6,616.41,2098.9,272.62
0.094,0.026,0.409,0.108,3248.2,612.34,1663.2,248.85
0.115,0.029,0.493,0.116,3263.7,666.15,1862.8,255.41
0.13,0.03,0.562,0.126,3281.1,617.59,2059.2,292.76
0.103,0.029,0.445,0.119,3242.7,670.9,1651,241.85
0.12,0.03,0.518,0.126,3260.9,616.83,1831.9,243.87
0.137,0.032,0.588,0.134,3231.5,652.18,2015.3,260.36
0.015,0.01,0.073,0.049,2715.7,429.33,676.28,162.12
0.023,0.013,0.112,0.062,2734.6,447.36,843.75,190.79
0.036,0.018,0.173,0.084,2702.7,482.78,1008.2,214.86
0.015,0.01,0.073,0.05,2757.8,491.91,663.01,163.27
0.025,0.015,0.12,0.072,2717.4,459.4,832.83,200.3
0.037,0.019,0.18,0.091,2818.9,490.55,990.81,200.7
0.017,0.011,0.081,0.052,2614.1,431.27,659.67,155.53
0.026,0.015,0.124,0.071,2731.1,469.5,809.41,183.99
0.037,0.019,0.179,0.089,2851.5,512.4,975.28,208.37
